res_id,gender,age,MateComp.cont,hate_violence_means,hate_pol_message,hate_prevent_settlement,hate_polcondemn
417525649,Male,60,1,1,1,1,4
443950944,Male,48,3,1,1,1,1
457254543,Female,39,1,1,1,1,1
451843145,Male,73,3,2,3,3,1
443654149,Female,31,1,3,2,2,3
457077149,Female,56,1,1,1,1,1
423907845,Male,49,1,1,1,1,1
491764140,Male,53,1,1,1,1,1
421820342,Male,23,1,1,1,1,1
481101748,Male,22,4,4,4,4,1
477921442,Female,67,2,2,1,1,1
481014440,Female,47,2,3,3,2,2
453025940,Male,51,2,2,2,2,2
454794145,Female,45,2,1,1,1,1
437736740,Female,39,1,1,1,1,1
437998448,Female,38,2,1,1,1,1
421837649,Female,22,2,1,1,1,2
401817640,Male,28,3,4,4,4,1
443294741,Male,56,2,1,1,1,1
451244644,Female,62,2,2,1,1,4
413577940,Female,38,2,1,1,1,2
401210744,Male,21,1,1,1,1,1
447955947,Male,68,2,1,2,2,2
421231243,Female,41,2,1,1,1,2
407339644,Male,25,3,1,1,1,1
487909948,Male,29,1,1,1,1,1
427243249,Male,35,1,1,1,1,1
493487941,Female,60,1,1,1,1,2
467877848,Male,65,2,3,1,1,1
411081447,Female,27,1,1,1,1,2
467895942,Female,67,2,2,2,2,3
493894842,Male,36,1,2,1,1,1
434633747,Male,30,1,1,1,1,2
407638843,Female,34,1,2,2,2,2
477741940,Male,31,2,1,1,1,2
497123245,Female,26,1,2,1,2,2
473863541,Male,46,2,3,2,3,3
493687841,Female,31,1,1,1,1,3
407433941,Male,61,1,2,1,2,2
437676442,Female,60,3,3,2,2,2
441647648,Female,49,1,2,1,2,3
467198244,Female,31,1,1,2,1,1
404469046,Male,55,2,1,1,1,1
493894140,Male,53,4,2,2,2,1
441146043,Male,21,2,3,3,3,2
417714241,Female,30,1,2,1,1,3
433487646,Male,54,1,1,1,1,1
433278444,Male,74,3,3,3,4,4
477808743,Female,24,2,2,2,2,3
433174540,Male,34,1,1,1,1,1
487285642,Female,55,1,4,1,1,4
421774449,Female,65,2,1,1,1,2
493368047,Male,48,1,1,1,1,1
441551341,Male,27,1,1,1,1,2
484584846,Female,37,1,1,1,1,1
431000544,Female,22,1,1,1,1,2
417733946,Female,51,1,1,1,1,1
401246940,Female,66,1,1,1,1,1
454689146,Male,48,1,2,1,3,2
467365840,Male,29,3,3,2,2,2
427845648,Male,47,3,1,1,1,1
423878241,Female,37,2,1,1,1,2
444094743,Female,48,2,1,1,1,2
424412846,Male,45,3,2,1,1,1
483621647,Female,71,3,2,1,2,2
427217641,Male,77,1,1,1,1,1
483560546,Male,44,2,1,1,1,1
474524347,Female,37,4,2,2,1,2
487081146,Female,53,1,3,1,1,2
493994345,Male,49,2,3,3,3,2
477789246,Male,39,4,3,2,3,3
404988441,Female,63,1,2,1,1,1
433010445,Male,28,1,1,1,1,1
413474947,Male,34,2,1,1,1,2
474484643,Male,29,1,1,1,1,1
493181543,Female,23,2,1,1,1,1
477285948,Female,43,1,3,2,1,1
411220046,Female,21,1,1,3,2,3
451683843,Male,22,1,2,1,1,1
403777848,Female,50,1,1,1,1,1
473894240,Female,30,2,2,2,2,1
477967046,Female,28,1,1,1,1,1
497825940,Female,46,1,1,1,1,2
444334042,Female,53,1,1,1,1,1
487478242,Female,60,4,2,2,2,2
421433544,Female,31,4,4,1,4,1
421496742,Male,33,1,2,3,2,4
487250543,Female,34,2,2,3,3,3
427345245,Male,71,2,1,1,1,2
463332748,Female,59,2,1,1,1,2
421536044,Female,53,1,1,1,1,1
413097243,Female,25,1,1,1,1,2
464816343,Male,43,1,4,3,3,3
484517647,Male,39,4,4,4,4,1
497614540,Male,70,1,1,1,1,1
487886243,Female,48,2,2,3,3,2
443732845,Male,49,4,2,2,2,1
414820941,Female,55,1,1,1,1,1
411613344,Female,21,1,1,1,1,1
443594643,Female,45,2,1,1,1,1
471280444,Male,21,1,1,1,1,1
401617043,Male,21,1,1,1,1,3
403300942,Female,31,2,2,2,2,3
463132640,Female,23,1,1,1,1,2
411916448,Male,27,2,1,1,1,2
494988546,Male,51,2,2,1,1,2
443528645,Male,71,1,1,1,1,1
481330241,Male,32,1,1,1,1,4
484912846,Female,58,1,2,1,1,2
421214648,Male,56,1,2,1,1,1
463901040,Male,43,2,2,3,4,2
421941242,Female,20,2,2,2,1,3
487020443,Female,58,1,2,1,1,1
447680541,Female,30,2,2,1,1,2
413032840,Female,54,1,1,1,1,1
444294746,Male,61,2,1,1,1,2
473590849,Male,67,3,3,2,2,2
417422441,Male,78,2,1,1,1,1
441680746,Male,29,2,1,1,1,1
481181143,Female,20,4,4,4,4,1
463763647,Female,62,1,1,1,1,1
443229448,Male,55,1,1,1,1,1
473533142,Female,54,2,1,1,1,1
453681341,Male,27,3,3,3,3,3
421467543,Male,64,2,1,1,1,1
427251847,Male,64,2,2,1,1,1
497821748,Male,57,2,2,2,2,2
423443346,Female,57,2,3,2,2,3
487345448,Female,32,1,1,1,1,1
441536143,Female,58,1,1,1,1,2
463142643,Male,33,1,2,1,1,2
431576847,Male,36,2,2,2,2,3
427275743,Male,22,3,1,3,3,2
444232347,Female,37,1,1,2,2,2
413267247,Female,46,1,1,1,1,2
431981943,Female,20,2,2,2,1,2
411617746,Female,48,1,1,1,1,2
424309041,Male,51,1,2,2,2,2
451980546,Male,22,1,1,1,1,1
451094641,Female,40,2,1,1,1,1
423173249,Female,26,2,1,2,2,2
491684441,Female,45,2,3,1,1,1
494662641,Male,65,2,1,1,1,1
427746841,Female,75,2,1,1,1,1
461530745,Female,65,1,1,1,1,2
471680044,Female,54,2,2,1,1,1
433164642,Male,56,1,1,1,1,1
461991944,Female,62,2,3,3,3,3
413854543,Female,58,1,1,1,1,2
424269444,Male,48,2,1,1,1,2
491283849,Female,52,1,1,1,1,3
411231847,Female,25,4,3,3,2,3
467035048,Male,60,3,2,2,2,1
474067441,Female,43,1,1,1,1,2
491110045,Female,20,2,3,2,3,3
417528246,Female,45,3,1,1,1,1
411771140,Female,20,2,1,1,1,2
443894543,Male,48,3,1,1,1,2
493907846,Male,45,1,1,1,1,2
464789348,Female,53,4,4,4,4,3
471497947,Female,79,4,3,1,2,2
427546645,Male,56,1,2,2,2,3
474543246,Male,52,2,2,1,2,1
477129345,Male,54,2,4,4,4,3
413020749,Female,51,2,2,2,2,3
487386943,Male,33,1,1,1,2,2
481494144,Female,66,2,3,2,2,2
463887148,Male,39,2,1,1,1,2
497509444,Female,22,1,3,2,1,2
483969344,Male,43,3,4,3,2,4
467939147,Female,65,2,2,2,2,3
411993941,Female,25,1,1,1,1,1
461843548,Female,51,4,4,3,3,2
444569542,Male,46,1,1,1,1,1
494208845,Female,49,4,3,3,4,1
404163642,Male,28,2,2,2,2,1
461853844,Male,19,2,2,3,2,1
427421446,Male,44,2,1,1,1,1
454784648,Female,55,1,1,1,1,1
401060448,Female,52,1,1,2,1,2
417347747,Female,26,1,1,1,1,2
497392748,Male,67,1,1,1,1,1
484164145,Female,29,1,2,1,1,3
443833847,Female,66,1,1,1,1,1
483628840,Female,28,4,3,4,4,2
497838046,Female,50,3,3,2,2,3
487198542,Female,26,1,2,1,1,3
433673640,Male,57,1,1,1,1,1
401167645,Male,69,1,2,1,1,1
467073842,Male,30,2,2,2,2,2
493257947,Female,52,2,2,2,2,2
457179547,Male,47,3,2,2,2,2
437489640,Female,24,1,2,1,2,1
463787949,Male,48,3,1,2,1,2
473694249,Male,62,1,1,1,1,3
491571945,Male,61,1,1,1,1,2
477345945,Female,21,1,1,1,1,1
413318542,Female,27,1,1,1,1,2
477413341,Female,53,3,2,3,2,2
417878547,Female,75,2,1,1,1,1
424767144,Female,49,1,2,1,1,2
471247444,Male,30,4,3,4,4,4
477665148,Male,59,2,1,1,1,1
437840040,Female,43,3,3,3,3,1
403294645,Male,45,2,3,3,3,2
463971748,Female,32,2,1,1,1,2
443301240,Female,44,1,1,1,1,1
447771247,Male,21,3,1,1,1,1
467448748,Female,39,2,2,2,2,3
411984746,Female,57,1,2,1,1,2
487155942,Female,52,2,2,2,2,1
493777749,Female,55,1,1,1,1,1
414504645,Female,54,1,1,1,2,2
401820744,Female,26,4,2,2,1,1
461867943,Male,68,1,1,1,1,1
447311244,Female,58,1,1,1,1,1
401541542,Female,25,3,2,3,3,3
407014047,Male,66,2,2,2,2,1
481253642,Male,67,1,1,1,1,1
411593947,Male,28,1,1,2,1,2
457377847,Male,29,2,1,1,1,1
451197544,Female,51,3,2,2,2,2
443133448,Male,73,2,3,3,2,1
453377447,Male,25,1,1,1,1,3
451371446,Male,74,1,1,1,1,1
477057145,Male,57,2,1,1,1,3
483894049,Female,42,1,1,1,1,2
403773344,Male,50,1,1,1,1,1
481041949,Male,37,1,1,2,2,1
441567448,Female,54,1,2,1,1,1
414673944,Male,47,3,2,1,1,2
411401541,Female,50,1,1,1,1,2
417511646,Male,27,1,3,2,3,3
477241943,Female,52,1,1,1,1,1
433813548,Female,50,1,1,1,1,1
463870340,Male,48,1,1,1,1,1
413981448,Male,53,1,1,2,1,3
487783746,Male,48,2,2,2,1,3
423785142,Male,45,3,4,3,3,1
487616542,Male,26,2,3,1,4,1
471141947,Male,20,3,3,3,3,2
484190049,Male,27,2,3,1,1,2
413894845,Male,59,3,2,2,2,3
493309549,Male,52,1,1,1,1,1
403907543,Female,50,1,1,1,1,2
483737942,Male,36,1,1,1,1,2
423887346,Male,56,2,1,1,1,1
477199447,Male,31,1,1,1,1,2
457403449,Male,67,2,1,1,1,1
437442140,Male,26,1,1,1,1,2
464362247,Male,41,1,1,1,1,1
403400048,Male,78,1,4,4,1,1
473400848,Male,43,1,1,1,1,1
473087341,Female,44,1,1,1,1,2
434308744,Female,30,1,1,1,1,1
471697944,Male,27,3,1,1,1,2
497585346,Male,50,2,2,1,1,1
497794145,Male,36,2,2,1,1,1
473894744,Female,59,2,3,3,3,4
441824545,Female,69,1,2,1,1,1
467006149,Male,25,1,2,2,3,3
424309749,Male,28,2,2,2,2,3
444686746,Female,63,2,1,1,1,2
451826142,Male,23,3,2,2,3,2
467442540,Female,30,1,1,1,1,1
401664249,Female,52,2,2,1,1,4
484804841,Male,54,1,1,1,1,2
493574545,Male,33,1,2,1,1,1
431956246,Male,22,2,1,1,1,4
474168746,Female,65,1,2,1,1,2
